tag,tag_count,word_count
totaldoctagswords,363,11970
authorialobservation,1,28
authorialobservation_i,1,1
chapmarker,14,28
chportrait,1,51
descriptorq,2,34
dia,1,49
dia_descriptorq,1,27
dia_i,2,22
diaq,5,307
diaq_i,22,105
diaq_m,1,2
doxaquotes,1,12
doxaquotes_i,2,4
exclamation,1,1
fidambig,2,22
fidambig_i,2,22
fiditalics,12,226
fiditalics_i,28,56
i,294,641
i_quotedlit,1,4
m,1,2
quotedlit,2,16
reportedspeechquotes,2,40
rhetoricalq,1,13
rhetoricalq_i,3,3
sceneaction,1,566
sceneaction_i,4,6
scenequasi,6,1720
scenequasi_authorialobservation,1,28
scenequasi_descriptorq,1,27
scenequasi_dia,1,49
scenequasi_diaq,5,307
scenequasi_exclamation,1,1
scenequasi_fiditalics,4,203
scenequasi_i,59,180
scenequasi_m,1,2
scenequasi_reportedspeechquotes,1,6
scenequasi_sententia,1,48
scenequasi_trigger,1,2
sententia,12,391
sententia_i,24,31
sententiacharacter,1,23
sententiacharacter_i,1,23
speechinsert,2,160
speechinsert_descriptorq,1,7
speechinsert_i,6,17
trigger,1,2
